index,category
0,coast
1,coast
2,coast
3,coast
4,coast
5,coast
6,coast
7,coast
8,coast
9,coast
10,forest
11,forest
12,forest
13,forestt
14,forest
15,forest
16,forest
17,forest
18,forest
19,forest
20,opencountry
21,opencountry
22,opencountry
23,opencountry
24,opencountry
25,opencountry
26,opencountry
27,opencountry
28,opencountry
29,opencountry
30,highway
31,highway
32,highway
33,highway
34,highway
35,highway
36,highway
37,highway
38,highway
39,highway
40,street
41,street
42,street
43,street
44,street
45,street
46,street
47,street
48,street
49,street
